name,form,stem,leaves,form_leaves,flowers,petals,where,why,pic
Одуванчик,трава,"полый, высотой до 30 см",неопушенные,остроконечные,большие,желтые,"на лугах, в садах, на пустырях, на газонах, вдоль дорог",Сок одуванчика применяли наружно при укусах пчелы или осы как обезболивающее и противоотечное. Листья используют в салат.,
Берёза,дерево,"Ствол в обхвате до 1,5 м со слабовыраженным рисунком.","зубчатые по краю, молодые листья клейкие.",заостренно-яйцевидные,маленькие,зеленые,"по берегам водоёмов, на болотах","Наружно листья употребляли при ожогах, абцессах, инфицированных ранах. Настой листьев пили при кожных заболеваниях, для ослабления болевых ощущений при уретритах.",
Подорожник,трава,"Стебель простой, безлистный, голый или слегка опушённый, высотой 10–50 см.",собраны в прикорневую розетку,широкоовальная форма,маленькие,коричневые,"Около дорог, на полях и огородах, на лугах, по лесным опушкам и берегам водоёмов","Сухие измельчённые листья употребляют в форме настоя в качестве противовоспалительного и отхаркивающего средства при бронхитах, коклюше, астме и других заболеваниях органов дыхания.",
Иван-чай,трава,"Стебель прямой, иногда разветвленный, густооблиственный","Очередные,темно-зеленые.",остроконечные,большие,розовые,"Растёт на сухих песчаных местах, по лесным опушкам, кустарникам.","Препараты листьев и корневищ употребляли в качестве вяжущих, кровоостанавливающих, ранозаживляющих.Корневища употребляли при гастритах и в качестве антисептического средства. Корневища имеют сладковатый вкус и заменяют картофель в сыром и отваренном виде.",
Ромашка,трава,"Разветвленный, тонкий",Тонкие зеленые,яйцевидные,большие,белые,"На обочинах дороги, по краям полей, на лугах.","Отвары используют как противовоспалительные, противоаллергические, антибактериальные. Примочки из ее отвара лечат раны. Экстракт ромашки довольно часто встречается и в косметологии в виде добавок в крем для рук.",
Василек синий,трава,"Шершавый, прямой, ребристый",опушены тонким войлочком,остроконечные,большие,синие,"По опушкам лесов, полянам, обочинам дорог как сорное растение на огородах и полях злаковых культур.","Очищающие свойства василька отлично используют для похудения. Кроме того, при этом из организма интенсивно выводятся шлаки и токсические вещества. Нормализуя процесс пищеварения, цветочный чай повышает аппетит.",
Дуб,дерево,Мощный ствол,"большие, простые",яйцевидные,маленькие,зеленые,"Обитает на сухих каменистых склонах и почвах, содержащих известь","Кора дуба используется для снятия воспаления, является эффективным ранозаживляющим и вяжущим средством. Отвар коры дуба лечит желудочные болезни, аллергию, заболевания кожи, горла, слизистых, полезен для десен.",
Крапива,трава,"Стебель покрыт жгучими волосками, полый, прямой или восходящий.",покрыты жгучими волосками.,остроконечные; заостренно-яйцевидные,маленькие,зеленые,"Любит расти в тенистых и влажных местах, ее можно встретить на полях среди посевов, в огородах, в балках.","Траву использовали как вспомогательное средство при заболеваниях печени и желчных путей, анемии. Препараты листьев употребляли при простудных заболеваниях и как наружное кровоостанавливающее средство.",
Мать-и-мачеха,трава,"прямостоячий, неветвистый, густо усаженный буровато-красными листьями","крупные,выемчато-зубчатые,снизу — сильно опушенные",заостренно-яйцевидные,большие,желтые,"На влажных глинистых почвах по обрывам, берегам рек, ручьев, канав, железнодорожным насыпям на пустырях, лесных полянах, опушках, выработанных карьерах.

","Применяют как отхаркивающее и мягчительное средство. Внутрь — в виде настоя, а также в составе грудных и потогонных сборов при бронхитах, ларингитах. Наружно — иногда в виде припарок как мягчительное и противовоспалительное средство.",
Лопух,трава,"прямой ребристый, к концу сильно разветвленный","шерховатые, крупные, постепенно сужающиеся к верхушке.",сердцевидные,маленькие,розовые,"Возле жилья, вдоль дорог, на лесных полянах, лугах.","Корни лопуха могут заменить картофель в супе, а также морковку, петрушку. Из них делют муку, добавляют в кофе вместо цикория.",
Пузыреплодник,кустарник,"гладкий, обычно темной расцветки."," небольшого размера. Края листьев пильчато-зубчатые. Сверху-темный и насыщенный оттенок, снизу - более светлые тона.
",яйцевидные,маленькие,белые,В садах,"Листки и цветки пузыреплодника для настоев, лечащих депрессивные состояния, неврит, лечат кожные заболевания, для облегчения симптомов гриппа, вспомогательном лечении пневмонии, астмы, бронхита. ",
Земляника,трава,"Укороченный, опушённый, прямостоячий",располагаются на высоких черешках,яйцевидные,маленькие,белые,"На солнечных лесных опушках, в тенистых зарослях, на открытых лугах с разнотравьем, и в горной местности..

","Наружно применяются при воспалительных заболеваниях горла и ротовой полости, настои способствует улучшению аппетита и нормализации пищеварительных процессов. 
",
Черника,кустарничек,"Сильноветвистый, прямостоячий","не чешуевидные, сверху светло-зелёные, блестящие, плоские (края не подвёрнутые)",яйцевидные,маленькие,белые,"В хвойных, болотных местах","Отвары из листьев черники в качестве профилактики. И листья, и побеги, и ягоды кустарника способствуют укреплению иммунитета и нормализуют работу всех органов организма в целом.
",
Купальница,трава,"Прямой, до 1 м высотой",сидячие,пальчатые,маленькие,желтые,В лесах и по опушкам на влажных почвах.,"При отеках, заболеваниях желудка, печени. Настой корней растения рекомендуется при водянке.",
Клевер,трава,"Прямостоячий или восходящий, опушенный прижатыми волосками.",с белым рисунком в виде треугольника.,тройчатые,маленькие,розовые,"На лугах разных типов,среди кустарников, на опушках, в светлых лесах, на полянах, вырубках, у дорог, в населенных пунктах.","Для растираний, аппликаций, полосканий, лечебных ванн, добавляют в мази, присыпки, шампуни. Настои и отвары из клевера способствуют выведению из организма излишка жидкости. Кроме того, они применяются в виде полосканий при ангине и стоматите.",
